"dt"
2017-01-08 03:46:00
2016-05-14 04:08:00
2016-08-18 16:10:00
2016-06-08 22:31:00
2016-02-01 03:54:00
2015-12-27 19:34:00
2017-02-20 01:46:00
2015-12-12 05:34:00
2015-04-08 13:10:00
2016-10-27 16:49:00
2016-12-01 10:40:00
2016-11-02 19:48:00
2017-05-17 08:23:00
2016-03-14 11:35:00
2016-02-16 15:18:00
2015-09-01 12:29:00
2016-05-22 10:06:00
2015-07-31 23:43:00
2016-11-30 04:06:00
2015-07-24 07:31:00
2016-06-25 19:28:00
2015-08-19 17:24:00
2015-07-10 14:11:00
2015-07-03 05:25:00
2015-12-17 02:32:00
2017-01-18 14:00:00
2017-01-05 12:32:00
2017-03-25 06:03:00
2016-01-08 20:37:00
2016-03-18 19:33:00
2016-03-10 15:47:00
2016-09-08 23:28:00
2015-11-03 14:35:00
2015-09-21 22:24:00
2015-10-26 05:28:00
2015-10-15 11:28:00
2015-10-29 18:05:00
2015-01-23 00:49:00
2015-03-19 11:27:00
2015-12-08 14:11:00
2015-05-09 11:45:00
2016-05-25 02:14:00
2015-11-22 17:56:00
2016-04-26 13:50:00
2015-11-12 14:30:00
2016-01-19 03:15:00
2016-02-18 04:21:00
2015-01-19 04:51:00
2016-10-22 18:52:00
2015-01-14 04:25:00
2015-08-11 11:40:00
2015-09-13 00:47:00
2015-12-12 18:32:00
2016-09-04 16:54:00
2015-04-27 09:18:00
2016-10-15 01:36:00
2016-03-20 02:25:00
2017-02-05 04:01:00
2015-11-18 11:29:00
2015-11-19 20:47:00
2017-03-29 07:01:00
2017-04-23 18:16:00
2016-06-07 15:46:00
2015-06-08 03:29:00
2015-09-19 02:39:00
2015-08-25 01:23:00
2015-10-08 17:54:00
2016-08-30 10:24:00
2016-07-23 00:51:00
2016-01-26 10:09:00
2017-03-21 18:06:00
2015-04-19 10:43:00
2015-09-06 22:40:00
2016-06-15 15:20:00
2016-10-31 22:27:00
2015-11-10 06:31:00
2015-06-06 22:09:00
2015-12-15 10:11:00
2016-01-13 08:27:00
2017-01-11 16:41:00
2015-09-15 01:35:00
2015-04-18 04:42:00
2015-08-15 06:25:00
2015-06-11 05:18:00
2017-04-19 08:40:00
2015-07-14 17:11:00
2015-09-28 04:31:00
2015-01-24 15:24:00
2015-10-14 07:36:00
2015-04-23 03:34:00
2015-04-14 05:07:00
2015-04-13 14:14:00
2015-09-10 08:50:00
2017-02-13 10:14:00
2015-11-05 03:40:00
2016-02-20 07:52:00
2015-09-11 23:55:00
2017-05-03 14:27:00
2015-01-05 03:22:00
2016-02-04 09:27:00
2015-05-08 04:13:00
2017-03-22 19:33:00
2016-02-11 17:23:00
2015-04-05 06:39:00
2017-05-02 23:22:00
2015-11-08 00:46:00
2015-05-04 00:15:00
2016-07-21 19:52:00
2016-01-09 21:35:00
2015-11-05 23:49:00
2016-01-12 20:25:00
2015-05-16 23:21:00
2016-08-02 06:46:00
2015-12-21 00:08:00
2015-06-06 23:07:00
2016-06-30 15:40:00
2015-03-25 20:40:00
2016-04-10 21:23:00
2016-07-04 22:59:00
2015-12-01 16:33:00
2015-03-07 07:22:00
2016-03-24 07:48:00
2015-10-14 12:02:00
2016-05-18 00:59:00
2016-07-14 18:17:00
2015-01-14 16:16:00
2015-11-21 11:42:00
2016-10-20 08:12:00
2015-04-05 12:25:00
2016-05-27 13:50:00
2016-07-31 13:35:00
2016-05-26 17:08:00
2015-10-11 04:57:00
2015-05-23 22:16:00
2015-07-17 16:50:00
2016-07-17 04:11:00
2016-10-26 02:14:00
2016-05-28 19:33:00
2016-03-08 07:51:00
2016-07-09 19:51:00
2015-04-27 21:35:00
2015-03-19 20:44:00
2017-01-15 20:40:00
2015-02-06 11:51:00
2017-04-11 22:45:00
2015-08-06 20:48:00
2015-01-17 10:19:00
2015-02-22 17:47:00
2015-02-04 02:50:00
2016-04-26 09:48:00
2016-04-03 07:24:00
2015-11-09 12:25:00
2016-05-21 16:39:00
2015-06-19 22:02:00
2015-08-31 20:42:00
2015-02-26 13:05:00
2016-07-24 09:27:00
2015-12-09 03:36:00
2016-05-01 21:01:00
2016-01-23 12:46:00
2016-07-16 19:43:00
2015-06-02 04:41:00
2016-11-02 00:42:00
2016-07-26 23:51:00
2015-08-23 01:48:00
2016-07-15 14:24:00
2015-05-11 02:42:00
2016-07-13 01:40:00
2015-07-05 12:35:00
2016-01-11 09:31:00
2015-04-21 14:47:00
2015-03-30 15:05:00
2016-07-14 17:31:00
2016-01-12 11:12:00
2016-04-16 22:07:00
2016-11-28 02:38:00
2015-12-29 14:18:00
2016-07-05 03:33:00
2016-01-10 09:05:00
2016-05-28 18:23:00
2016-04-29 11:59:00
2015-12-13 10:30:00
2016-12-19 10:23:00
2015-12-12 15:50:00
2015-05-22 10:38:00
2015-09-28 05:12:00
2016-11-07 08:19:00
2015-10-26 21:09:00
2015-05-11 11:24:00
2016-08-03 21:13:00
2015-12-22 15:08:00
2016-07-24 18:20:00
2016-05-02 22:05:00
2016-05-18 22:29:00
2016-08-12 23:33:00
2017-05-02 03:28:00
2015-09-05 22:24:00
2016-06-22 10:26:00
2017-05-08 04:21:00
2016-08-23 05:35:00
2017-02-06 10:53:00
2015-08-07 21:51:00
2015-01-18 07:05:00
2015-10-09 23:30:00
2016-07-31 21:28:00
2015-03-06 08:05:00
2017-02-03 01:52:00
2016-10-08 11:23:00
2016-12-01 17:26:00
2016-02-09 12:51:00
2017-03-10 09:21:00
2015-09-13 01:40:00
2016-04-27 03:14:00
2015-12-22 11:35:00
2016-11-05 06:35:00
2016-05-13 03:58:00
2015-06-21 16:47:00
2017-05-01 10:50:00
2016-12-06 07:37:00
2015-07-01 04:59:00
2015-06-11 08:23:00
2015-11-20 11:23:00
2015-04-05 15:36:00
2016-05-29 13:54:00
2015-07-03 03:50:00
2015-03-21 14:51:00
2015-05-20 18:00:00
2015-09-26 10:01:00
2015-03-26 05:33:00
2015-10-31 00:07:00
2016-07-26 09:05:00
2016-08-02 20:05:00
2015-04-17 18:29:00
2015-10-17 07:59:00
2017-03-01 18:57:00
2015-01-06 08:58:00
2016-12-04 23:32:00
2016-01-19 10:20:00
2015-10-10 09:44:00
2015-12-10 02:19:00
2016-10-24 13:23:00
2016-08-05 20:52:00
